node_id,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,from_marker,to_marker,node_index,total_nodes
3402,-40.5,9.0,0.9809532336209703,15.123901707484224,-28.880333338881766,-1.9715048151007974,-7.381249039801378,22.13069023578908,26,29,42,43
3403,-45.0,4.5,46.75289057978878,-44.31939084088359,3.2725557341399023,-0.7187530379431211,4.534541803480297,-1.6576042683542047,27,20,0,92
3404,-45.44505494505494,4.450549450549451,47.25748284803119,-43.968868423461906,2.9123530254636494,2.5790053854589887,2.2818179684623265,-2.468730063575666,27,20,1,92
3405,-45.89010989010989,4.4010989010989015,45.33712916339337,-44.622274902018226,2.9198024879853426,-2.7191015282266866,-1.5486101836857475,1.9271059142599771,27,20,2,92
3406,-46.33516483516483,4.351648351648351,41.086242194521276,-42.97598054498786,3.2703482968392756,-0.4970254920470603,-1.8138454952919985,3.5060594604534683,27,20,3,92
3407,-46.78021978021978,4.302197802197802,36.60899306207556,-39.569554585063585,0.8735704235482993,-3.309370136812365,-2.071118406340701,4.377816703925878,27,20,4,92
3408,-47.22527472527472,4.252747252747253,32.03743538425185,-35.15774169348525,-3.59705191591317,-0.9802990516264326,-5.088687516434855,4.1627985989938985,27,20,5,92
3409,-47.67032967032967,4.2032967032967035,26.909432290260437,-31.91289423966014,-8.279553311497265,-3.8476816968820886,-6.18857900501675,5.761832692970182,27,20,6,92
3410,-48.11538461538461,4.153846153846154,18.118395067667635,-30.610159203597156,-11.909925047258085,6.330762558958328,-13.062384146666925,22.03122826207655,27,20,7,92
3411,-48.56043956043956,4.104395604395604,5.0965430596475185,-27.792000282089266,-15.354368652668471,-6.879044934349338,-3.0890692776416,39.50502362027452,27,20,8,92
3412,-49.005494505494504,4.054945054945055,-4.795546894249025,-23.950918336144497,-19.026306081059325,-3.196906841903081,-4.454924165061713,77.67002648445296,27,20,9,92
3413,-49.45054945054945,4.0054945054945055,-11.078967541471627,-21.275466771853765,-21.380490667268166,-4.523657992107618,-4.97803339668954,101.52442317278208,27,20,10,92
3414,-49.895604395604394,3.956043956043956,-12.876845083787373,-20.857889029268822,-23.77715384901078,-1.1752684093439156,-3.0411303583175955,113.15761580271982,27,20,11,92
3415,-50.34065934065934,3.9065934065934065,-13.57811274512765,-21.523241000077423,-24.462209496946677,-2.3616830205543424,-2.283391396315303,114.22191162248394,27,20,12,92
3416,-50.785714285714285,3.857142857142857,-13.687971153515086,-21.678169401166056,-24.274096255668763,-1.2591890676977524,-5.807702439521863,109.10056627707925,27,20,13,92
3417,-51.23076923076923,3.8076923076923075,-12.813369097634679,-21.430650141033148,-24.516222426403736,-1.556024968249021,-4.808690180626386,109.89508673292458,27,20,14,92
3418,-51.675824175824175,3.758241758241758,-11.321528134888107,-21.41802661335231,-23.472900108158935,-2.8679962274004565,-7.218769522477056,102.22037156169255,27,20,15,92
3419,-52.120879120879124,3.708791208791209,-10.077582645728723,-20.979199199927248,-22.383466210125622,-1.9504072163620993,-4.5516994819544685,103.78701918101123,27,20,16,92
3420,-52.565934065934066,3.659340659340659,-8.974285932597606,-19.183156635525183,-22.047087963662104,-3.6068902809159744,-6.9171698241397355,101.0632960121665,27,20,17,92
3421,-53.01098901098901,3.60989010989011,-8.253058212599726,-17.317853926428377,-22.23300086132724,-0.8735216000476422,-5.254383815805964,110.04293036296339,27,20,18,92
3422,-53.456043956043956,3.5604395604395602,-8.432497896297619,-13.919246726047959,-22.850124625442984,-3.0314094531538838,-6.048036155693824,109.09149835601997,27,20,19,92
3423,-53.901098901098905,3.510989010989011,-9.095812169606015,-11.658519386780556,-23.516606455863812,-0.23935791661649777,-6.372074938776572,105.93969979373303,27,20,20,92
3424,-54.34615384615385,3.4615384615384617,-10.607566293436607,-9.021995993494762,-24.55080251674759,-3.288419495709507,-6.003394795246815,-136.2791775531236,27,20,21,92
3425,-54.79120879120879,3.4120879120879124,-11.711064697777747,-7.662119354552584,-25.57862361694007,-0.5046750859072293,-7.897309065482257,-134.88478615182754,27,20,22,92
3426,-55.23626373626374,3.3626373626373627,-12.744715974859478,-6.7780569192084545,-26.813519785971753,-3.007597477398412,-7.341086140523907,-152.3728132388295,27,20,23,92
3427,-55.681318681318686,3.313186813186813,-14.31582631139597,-6.710652112281912,-28.29687360995347,-1.0942039928685512,-6.326087330873354,-192.17429842682242,27,20,24,92
3428,-56.12637362637363,3.2637362637362637,-17.63820621781302,-7.371083666311847,-29.607095027842067,-4.146723786931083,-8.927061411823017,-156.17265260239273,27,20,25,92
3429,-56.57142857142857,3.2142857142857144,-21.567422875464963,-8.593819400188817,-31.4427912114981,-0.767180644131746,-7.497376777355731,-173.75340763446644,27,20,26,92
3430,-57.01648351648352,3.164835164835165,-23.740639699343436,-10.320592713606368,-33.31645507180741,-1.4416623819735235,-2.326323034004273,-182.0193329433184,27,20,27,92
3431,-57.46153846153846,3.1153846153846154,-25.766939767444264,-12.511047853001783,-34.65812898574877,-0.37227100761240006,-4.7077295772265,-138.11521246791548,27,20,28,92
3432,-57.9065934065934,3.065934065934066,-27.890552364738962,-15.002031856986926,-34.93790291690441,-1.2456396442047462,-2.4567491942596638,-83.22490137398518,27,20,29,92
3433,-58.35164835164835,3.0164835164835164,-29.75702846370769,-17.041309279885333,-35.10727440433626,-1.6199885227734927,-5.233767712239721,124.57899330730606,27,20,30,92
3434,-58.7967032967033,2.967032967032967,-30.463975426944295,-18.994440852841432,-34.8258120410871,-0.26540726781731844,-3.8986265664517785,109.72522069696116,27,20,31,92
3435,-59.24175824175824,2.9175824175824174,-30.346386304928096,-20.349226347981126,-34.354479361419095,-1.6036198775895585,-6.00927595302343,131.31389660835382,27,20,32,92
3436,-59.68681318681318,2.868131868131868,-29.06687128543719,-22.509533145830968,-33.32837843388409,-0.039381738647275774,-4.723331829594229,128.05301442443505,27,20,33,92
3437,-60.13186813186813,2.8186813186813184,-28.037448759988987,-23.16511573619389,-32.217708948706544,-1.766904597476647,-4.303103931315037,126.54690988057358,27,20,34,92
3438,-60.57692307692308,2.769230769230769,-26.90042890345717,-23.73763612584554,-30.53789801262069,-0.3223888719632483,-3.8958519321494873,124.25774014471632,27,20,35,92
3439,-61.02197802197802,2.71978021978022,-26.059436154198533,-23.33733115355322,-29.148192655835086,-2.9430359956884753,-2.936271211301639,124.75402221298685,27,20,36,92
3440,-61.467032967032964,2.6703296703296706,-24.935925496753246,-23.106059499863818,-27.48540605538135,-0.28356816631178,-3.34870659968684,122.23434559549261,27,20,37,92
